翻訳ID,日本語,英語,中国語（簡体字）,韓国語
word_55,"First, do no harm.","Прежде всего, не навреди.","First, do no harm.","First, do no harm."
word_56,Stairway to Heaven,Лестница в Рай,Stairway to Heaven,Stairway to Heaven
word_57,Time-out,Тайм-аут,Time-out,Time-out
word_58,Girlhood,Girlhood,Girlhood,Girlhood
word_58_memo,侵入先：Wiの端末,Взлом: ПК Ви,入侵目标：Wi的终端,침입 장소: Wi의 단말
word_59,PERFECT BLUE,ИСТИННАЯ ГРУСТЬ,PERFECT BLUE,PERFECT BLUE
word_60,PAPRIKA,ПАПРИКА,PAPRIKA,PAPRIKA
word_61,It's a small world  - AC74D5,Этот тесный мир - AC74D5,It's a small world  - AC74D5,It's a small world  - AC74D5
word_62,"LOVE, DEATH & ROBOTS - F78EA096","ЛЮБОВЬ, СМЕРТЬ И РОБОТЫ - F78EA096","LOVE, DEATH & ROBOTS - F78EA096","LOVE, DEATH & ROBOTS - F78EA096"
word_62_memo,侵入先：ラブのジェム,Взлом: НейроДжем Любви,入侵目标：“仁爱”的神经宝石,침입 장소: 러브의 젬
word_63,Club 33,Клуб 33,Club 33,Club 33
word_64,When You Wish upon a Star,Когда Загадываешь Желание Звезде,When You Wish upon a Star,When You Wish upon a Star
word_64_memo,侵入先：モーリィ・リースの端末,Взлом: Устройство Молли Райсс,入侵目标：莫莉·莉斯的终端,침입 장소: 몰리 리스의 단말
